pred_Enrolled,pred_Graduate,pred_Dropout,true
0.015437287046142936,0.007113245159791308,0.9774494677940657,Dropout
0.1934318147102245,0.785374181984317,0.021194003305458488,Enrolled
0.28572010602370657,0.6792366848391993,0.03504320913709412,Graduate
0.5514660340569992,0.04866680093317049,0.39986716500983027,Dropout
0.01648180570046331,0.9660951121027019,0.01742308219683487,Graduate
0.10367382094324762,0.8712285620335547,0.0250976170231977,Graduate
0.4837457432959279,0.4179370654643135,0.09831719123975868,Enrolled
0.02871954557217376,0.010117008864309494,0.9611634455635168,Dropout
0.5528884268709883,0.36199831309320774,0.08511326003580404,Graduate
0.0069917679452496636,0.0031618196922758063,0.9898464123624744,Dropout
0.0622208039709884,0.022581249749115073,0.9151979462798965,Dropout
0.011084590944519907,0.01048339764541246,0.9784320114100676,Dropout
0.009886426411013014,0.003772296747106035,0.986341276841881,Dropout
0.006364440552614321,0.9826980796457012,0.010937479801684462,Graduate
0.13020438668989198,0.8084070536397815,0.06138855967032646,Graduate
0.07253480757260264,0.9094880556313836,0.01797713679601374,Graduate
0.08024137203164124,0.881698736124085,0.03805989184427385,Graduate
0.01984444881541586,0.9632864914453885,0.016869059739195703,Graduate
0.6435586290211543,0.22108891061550562,0.13535246036334,Enrolled
0.32041350911264027,0.6314292859058983,0.04815720498146145,Enrolled
0.014257602920794825,0.00423351212953204,0.981508884949673,Dropout
0.704324551298292,0.037320972663289084,0.25835447603841905,Enrolled
0.3080315703679027,0.6589041081982127,0.03306432143388461,Graduate
0.04263073194198895,0.8731527009813725,0.08421656707663863,Graduate
0.7764495396367642,0.13922730474239262,0.08432315562084321,Enrolled
0.2342175672221463,0.0026682545068691613,0.7631141782709846,Enrolled
0.2786272199525817,0.009368138989179162,0.7120046410582391,Enrolled
0.0033993389316885826,0.0007809459833681817,0.9958197150849432,Dropout
0.06904722730289588,0.91475676212328,0.016196010573824044,Graduate
0.17688429883037368,0.7621600446040123,0.060955656565614046,Graduate
0.009569337213135267,0.9857984745473996,0.004632188239465048,Graduate
0.2883696062267321,0.6618564381758574,0.04977395559741049,Graduate
0.2737715398585892,0.6672950092014304,0.058933450939980515,Graduate
0.6919877843524026,0.049552285305785704,0.25845993034181175,Enrolled
0.009309069289554444,0.9808089315325763,0.009881999177869433,Graduate
0.05333345186484436,0.9272952319291692,0.01937131620598659,Graduate
0.1567640431771731,0.742562093648282,0.10067386317454495,Enrolled
0.5096783818187034,0.02480744512763489,0.4655141730536616,Dropout
0.2172977664288638,0.70679095177906,0.07591128179207608,Enrolled
0.037862632636597365,0.002984740089437542,0.9591526272739651,Dropout
0.044373631511918706,0.005707566328640528,0.9499188021594407,Dropout
0.4678565220919324,0.43541659873234245,0.09672687917572516,Enrolled
0.0013454316859549747,0.0006850039714251954,0.9979695643426199,Dropout
0.6034239827520246,0.2880184766147245,0.10855754063325079,Dropout
0.2722609694133284,0.5840553164956975,0.143683714090974,Enrolled
0.03766929464223301,0.9498407023088068,0.01249000304896019,Graduate
0.576352611997671,0.32010135864808664,0.10354602935424237,Graduate
0.01621276873653721,0.970120279134726,0.013666952128736894,Graduate
0.019690778630199735,0.00489227407257964,0.9754169472972206,Dropout
0.5817732422248993,0.30882228655668115,0.10940447121841945,Graduate
0.019723280210458622,0.006328712669909702,0.9739480071196317,Dropout
0.0418111792184165,0.673622152058956,0.28456666872262737,Graduate
0.15897429055067003,0.7222837239745008,0.11874198547482928,Graduate
0.21356454182935702,0.4813368013198882,0.30509865685075466,Graduate
0.5114815973200074,0.015527870147268162,0.4729905325327245,Enrolled
0.021680210544430784,0.966912950324495,0.011406839131074355,Graduate
0.9101057632685257,0.027086993796858076,0.0628072429346162,Enrolled
0.07757658329158221,0.7504146567582187,0.1720087599501991,Graduate
0.051575116666291915,0.9333375627767023,0.015087320557005813,Graduate
0.04845740896074848,0.9293682372640873,0.022174353775164267,Graduate
0.06978960486637434,0.885903010906815,0.04430738422681068,Graduate
0.207999999479829,0.7144630039043007,0.0775369966158703,Enrolled
0.45088333046847245,0.36027434681439513,0.18884232271713233,Dropout
0.0820572380011104,0.8992711709959007,0.018671591002988798,Graduate
0.0018120676426404882,0.0028265612476434934,0.9953613711097161,Dropout
0.7277734081966928,0.015809265384142075,0.2564173264191652,Enrolled
0.08346004205664644,0.015109971143254557,0.901429986800099,Dropout
0.7265242948444867,0.03172988263379805,0.24174582252171534,Dropout
0.7352278053707026,0.07003687513462008,0.19473531949467726,Enrolled
0.48392571605627577,0.0053051870840584514,0.5107690968596658,Dropout
0.10598127756699455,0.8637896448347326,0.030229077598272945,Graduate
